编号,品牌,型号,前进档位数,倒档档位数,换档形式,最大扭矩(N*m),变速箱油容量(L),前进档速比,倒档速比
107,法士特,12JS90,12,2,手动,900,7,"1: 12.07
2: 9.36
3: 7.26
4: 5.62
5: 4.44
6: 3.52
7: 2.71
8: 2.11
9: 1.63
10: 1.27
11: 1.00
12: 0.79","1: 10.86
2: 2.44"
108,法士特,12JSD160,12,2,手动,1600,15,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
109,法士特,12JSD160A,12,2,手动,1600,15,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
110,法士特,12JSD160T,12,2,手动,1600,15,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
111,法士特,12JSD180A,12,2,手动,1800,16,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
112,法士特,12JSD180T,12,2,手动,1800,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
113,法士特,12JSD180TA,12,2,手动,1800,16,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
114,法士特,12JSD200,12,2,手动,2000,15.5,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
115,法士特,12JSD200A,12,2,手动,2000,15.5,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
116,法士特,12JSD200T,12,2,手动,2000,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
117,法士特,12JSD200TA,12,2,手动,2000,16,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
118,法士特,12JSD200TB,12,2,手动,2000,15,"1: 14.38
2: 11.18
3: 8.49
4: 6.4
5: 4.83
6: 3.77
7: 2.98
8: 2.31
9: 1.76
10: 1.32
11: 1.00
12: 0.78","1: 13.76
2: 2.85"
119,法士特,12JSD220T,12,2,手动,2200,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
120,法士特,12JSD220TA,12,2,手动,2200,16,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
121,法士特,12JSD240T,12,2,手动,2400,15,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
122,法士特,12JSD240TA,12,2,手动,2400,15,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
123,法士特,12JSDX160T,12,2,手动,1600,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
124,法士特,12JSDX160TA,12,2,手动,1600,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
125,法士特,12JSDX180T,12,2,手动,1800,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
126,法士特,12JSDX180TA,12,2,手动,1800,16,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
127,法士特,12JSDX200T,12,2,手动,2000,16,"1: 15.53
2: 12.08
3: 9.39
4: 7.33
5: 5.73
6: 4.46
7: 3.48
8: 2.71
9: 2.1
10: 1.64
11: 1.28
12: 1.00","1: 14.86
2: 3.33"
128,法士特,12JSDX200TA,12,2,手动,2000,16,"1: 12.10
2: 9.41
3: 7.31
4: 5.71
5: 4.46
6: 3.48
7: 2.71
8: 2.11
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
129,法士特,16JS160T,16,2,手动,1800,15,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.06
6: 6.64
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
130,法士特,16JS160TA,16,2,手动,1800,15,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
131,法士特,16JS168T,16,2,手动,1800,15,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
132,法士特,16JS168TA,16,2,手动,1680,19,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
133,法士特,16JS180T,16,2,手动,1800,16.5,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
134,法士特,16JS180TA,16,2,手动,1800,16.5,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
135,法士特,16JS200,16,2,手动,2000,,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
136,法士特,16JS200T,16,2,手动,2000,16.5,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
137,法士特,16JS200TA,16,2,手动,2000,16.5,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
138,法士特,16JS240T,16,2,手动,2400,19,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
139,法士特,16JS240TA,16,2,手动,2400,19,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
140,法士特,16JS260T,16,2,手动,2600,15.5,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
141,法士特,16JSD150T,16,2,手动,1500,17,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.06
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
142,法士特,16JSD150TA,16,2,手动,2000,17,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
143,法士特,16JSD180T,16,2,手动,1800,19,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.06
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
144,法士特,16JSD180TA,16,2,手动,2000,19,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
145,法士特,16JSD200T,16,2,手动,1800,19,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.06
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
146,法士特,16JSD200TA,16,2,手动,2000,19,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
147,法士特,16JSD220T,16,2,手动,2200,17,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
148,法士特,16JSD220TA,16,4,手动,2200,17,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
149,法士特,16JSD240T,16,2,手动,2400,19,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.06
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
150,法士特,16JSD240TA,16,2,手动,2400,19,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
151,法士特,16JSDX200T,16,2,手自一体,2200,17,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
152,法士特,16JSDX200TA,16,4,手动,1500-2400,17,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
153,法士特,16JSS300T,16,2,手动,3000,21,"1: 17.13
2: 14.1
3: 11.72
4: 9.65
5: 8.08
6: 6.66
7: 5.56
8: 4.58
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.38
2: 11.13"
154,法士特,16JZS200,16,2,手自一体,2000,20,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.06
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
155,法士特,16JZSD200,16,2,手自一体,2000,15.5,"1: 17.04
2: 14.03
3: 11.66
4: 9.6
5: 8.04
6: 6.62
7: 5.53
8: 4.55
9: 3.74
10: 3.08
11: 2.56
12: 2.11
13: 1.77
14: 1.45
15: 1.21
16: 1","1: 16.3
2: 13.42"
156,法士特,16JZSD200A,16,2,手自一体,2000,15.5,"1: 14.03
2: 11.64
3: 9.6
4: 7.97
5: 6.64
6: 5.51
7: 4.55
8: 3.78
9: 3.08
10: 2.56
11: 2.11
12: 1.75
13: 1.46
14: 1.21
15: 1
16: 0.83","1: 13.42
2: 11.13"
157,法士特,C16JSDQXL200T,16,4,手动,2000,15,"1: 17.09
2: 14.13
3: 11.82
4: 9.77
5: 8.09
6: 6.69
7: 5.47
8: 4.52
9: 3.78
10: 3.13
11: 2.61
12: 2.16
13: 1.79
14: 1.48
15: 1.21
16: 1","1: 15.73
2: 13
3：3.48
4：2.88"
158,法士特,C16JSDQXL200TA,16,4,手动,2000,15,"1: 14.13
2: 11.7
3: 9.77
4: 8.09
5: 6.69
6: 5.54
7: 4.52
8: 3.74
9: 3.13
10: 2.59
11: 2.16
12: 1.79
13: 1.48
14: 1.22
15: 1
16: 0.83","1: 13
2: 10.77
3：2.88
4：2.38"
159,法士特,C16JSDQXL220T,16,4,手动,2200,15,"1: 17.09
2: 14.13
3: 11.82
4: 9.77
5: 8.09
6: 6.69
7: 5.47
8: 4.52
9: 3.78
10: 3.13
11: 2.61
12: 2.16
13: 1.79
14: 1.48
15: 1.21
16: 1","1: 13
2: 15.73
3：2.88
4：3.48"
160,法士特,C16JSDQXL220TA,16,4,手动,2500,15,"1: 14.13
2: 11.7
3: 9.77
4: 7.97
5: 6.69
6: 5.54
7: 4.52
8: 3.74
9: 3.13
10: 2.59
11: 2.16
12: 1.79
13: 1.48
14: 1.22
15: 1
16: 0.83","1: 10.77
2: 13
3：2.38
4：2.88"
161,法士特,C16JSDQXL250TA,16,4,手动,2500,15,"1: 14.13
2: 11.7
3: 9.77
4: 7.97
5: 6.69
6: 5.54
7: 4.52
8: 3.74
9: 3.13
10: 2.59
11: 2.16
12: 1.79
13: 1.48
14: 1.22
15: 1
16: 0.83","1: 10.77
2: 13
3：2.38
4：2.88"
162,哈齿,CA10T135,10,2,手动,735,9,"1: 11.288
2: 3.968
3: 6.577
4: 4.06
5: 3.958
6: 2.443
7: 2.475
8: 1.528
9: 1.62
10: 1","1.11.44
2.7.062
"
163,哈齿,CA12T123,12,2,手动,530,9,"1: 12.377
2: 7.833
3: 7.64
4: 4.835
5: 4.627
6: 3.07
7: 2.856
8: 2.166
9: 1.895
10: 1.62
11: 1.337
12: 1.00","1: 11.573
2: 7.107"
164,华菱星马,12SOB1900,12,2,手动,1850,0,"1: 12.17
2: 9.58
3: 7.37
4: 5.81
5: 4.55
6: 3.58
7: 2.67
8: 2.11
9: 1.62
10: 1.28
11: 1.00
12: 0.79","1: 12.88
2: 10.14"
165,华菱星马,16S OR 1840,16,2,手动,1900,0,"1: 14.037
2: 11.667
3: 9.707
4: 8.077
5: 6.686
6: 5.557
7: 4.545
8: 3.778
9: 3.088
10: 2.567
11: 2.138
12: 1.777
13: 1.471
14: 1.223
15: 1.000
16: 0.831","1: 12.868
2: 10.695"
166,华菱星马,16SOB1701,16,2,手动,1700,0,"1: 14.04
2: 11.67
3: 9.72
4: 8.08
5: 6.69
6: 5.56
7: 4.55
8: 3.78
9: 3.09
10: 2.57
11: 2.14
12: 1.78
13: 1.47
14: 1.22
15: 1
16: 0.83","1.12.87
2.10.7
"
167,华菱星马,16SOB1850,16,2,手动,1850,0,"1: 14.04
2: 11.67
3: 9.72
4: 8.08
5: 6.69
6: 5.56
7: 4.55
8: 3.78
9: 3.09
10: 2.57
11: 2.14
12: 1.78
13: 1.47
14: 1.22
15: 1
16: 0.83","1.12.87
2.10.7
"
168,华菱星马,16SOB1900,16,2,手动,1850,0,"1: 14.04
2: 11.67
3: 9.72
4: 8.08
5: 6.69
6: 5.56
7: 4.55
8: 3.78
9: 3.09
10: 2.57
11: 2.14
12: 1.78
13: 1.47
14: 1.22
15: 1
16: 0.83","1.12.87
2.10.7
"
169,金东,JDS12TB210,12,2,手动,2100,15.8,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
170,綦江,QJ12S1700,12,2,手动,1700,16,"1: 16.47
2: 11.32
3: 7.79
4: 5.48
5: 3.59
6: 3.01
7: 2.47
8: 2.07
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 13.32
2: 11.15"
171,綦江,QJ12S1700A,12,2,手动,1700,16,"1: 14.29
2: 9.93
3: 7.05
4: 4.58
5: 3.12
6: 2.56
7: 2.17
8: 1.78
9: 1.54
10: 1.26
11: 1.00
12: 0.82","1: 12.79
2: 10.71"
172,綦江,QJ12S1900,12,2,手动,1900,16,"1: 15.79
2: 10.86
3: 7.52
4: 5.23
5: 3.59
6: 3.01
7: 2.47
8: 2.07
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 12.16
2: 9.96"
173,綦江,QJ12S1900A,12,2,手动,1900,16,"1: 12.46
2: 7.83
3: 5.54
4: 3.61
5: 3.12
6: 2.56
7: 2.17
8: 1.78
9: 1.54
10: 1.26
11: 1.00
12: 0.82","1: 12.16
2: 9.96"
174,綦江,QJ12S2100,12,2,手动,2100,16,"1: 13.8
2: 9.5
3: 6.5
4: 4.6
5: 3.5
6: 3.0
7: 2.4
8: 2.1
9: 1.7
10: 1.4
11: 1.2
12: 1.0","1: 13.32
2: 11.15"
175,綦江,QJ12S2100A,12,2,手动,2100,16,"1: 13.24
2: 9.10
3: 6.24
4: 4.40
5: 3.59
6: 3.01
7: 2.47
8: 2.04
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 12.79
2: 10.71"
176,綦江,QJ12S2400,12,2,手动,2400,16,"1: 13.24
2: 9.10
3: 6.24
4: 4.40
5: 3.59
6: 3.01
7: 2.47
8: 2.04
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 12.79
2: 10.71"
177,綦江,QJ12S2400A,12,2,手动,2400,16,"1: 12.7
2: 8.1
3: 5.8
4: 3.7
5: 3.1
6: 2.5
7: 2.1
8: 1.7
9: 1.5
10: 1.2
11: 1.0
12: 0.8","1: 12.6
2: 10.3"
178,綦江,16TS1700,16,2,手动,1700,0,"1: 16.47
2: 13.79
3: 11.32
4: 9.47
5: 7.79
6: 6.52
7: 5.48
8: 4.58
9: 3.59
10: 3.01
11: 2.47
12: 2.07
13: 1.7
14: 1.42
15: 1.2
16: 1","1.13.32
2.11.15"
179,綦江,16TS1900,16,2,手动,1900,0,"1: 13.8
2: 11.55
3: 9.59
4: 8.02
5: 6.81
6: 5.70
7: 4.58
8: 3.84
9: 3.01
10: 2.52
11: 2.09
12: 1.75
13: 1.49
14: 1.24
15: 1.00
16: 0.84","1.12.23
2.10.02"
180,綦江,16TS1900,16,2,手动,1900,0,"1: 16.47
2: 13.79
3: 11.32
4: 9.47
5: 7.79
6: 6.52
7: 5.48
8: 4.58
9: 3.59
10: 3.01
11: 2.47
12: 2.07
13: 1.7
14: 1.42
15: 1.2
16: 1",
181,綦江,QJ16S1700,16,2,手动,1700,0,"1: 16.47
2: 13.79
3: 11.32
4: 9.47
5: 7.79
6: 6.52
7: 5.48
8: 4.58
9: 3.59
10: 3.01
11: 2.47
12: 2.07
13: 1.7
14: 1.42
15: 1.2
16: 1","1.13.32
2.11.15"
182,綦江,QJ16S1700,16,2,手动,1700,16,"1: 14.29
2: 11.71
3: 9.93
4: 8.14
5: 7.05
6: 5.78
7: 4.59
8: 3.76
9: 3.74
10: 2.56
11: 2.17
12: 1.78
13: 1.54
14: 1.26
15: 1
16: 0.82","1: 12.66
2: 10.37"
183,綦江,QJ16S1900,16,2,手动,2200,16,"1: 14.29
2: 11.71
3: 9.93
4: 8.14
5: 7.05
6: 5.78
7: 4.59
8: 3.76
9: 3.74
10: 2.56
11: 2.17
12: 1.78
13: 1.54
14: 1.26
15: 1
16: 0.82","1: 12.66
2: 10.37"
184,綦江,QJ16S2200,16,2,手动,2200,16,"1: 14.29
2: 11.71
3: 9.93
4: 8.14
5: 7.05
6: 5.78
7: 4.59
8: 3.76
9: 3.74
10: 2.56
11: 2.17
12: 1.78
13: 1.54
14: 1.26
15: 1
16: 0.82","1: 12.66
2: 10.37"
185,斯堪尼亚,GRSO905R,12,2,手自一体,0,0,,
186,四川现代岱摩斯,T230S12,12,2,手动,2000,15,"1: 12.29
2: 9.57
3: 7.49
4: 5.83
5: 4.57
6: 3.55
7: 2.69
8: 2.10
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 10.86
2: 8.46"
187,四川现代岱摩斯,T230S16,16,2,手动,2000,16.5,"1: 14.08
2: 11.74
3: 9.33
4: 7.78
5: 6.44
6: 5.37
7: 4.57
8: 3.81
9: 3.08
10: 2.57
11: 2.04
12: 1.70
13: 1.41
14: 1.18
15: 1.00
16: 0.83","1: 12.2
2: 10.17"
188,万里扬, WLY10S110B,10,1,手动,1100,9.5,"1: 8.82
2: 6.36
3: 4.92
4: 4.10
5: 3.32
6: 2.15
7: 1.55
8: 1.2
9: 1.0
10: 0.81
","1.6.56
"
189,万里扬,WLY10S110,10,1,手动,1100,9.5,"1: 13.12
2: 8.82
3: 6.36
4: 4.92
5: 4.10
6: 3.32
7: 2.15
8: 1.55
9: 1.2
10: 1.0
","1.13.26
"
190,万里扬,WLY10S110A,10,1,手动,1500,9.5,"1: 13.12
2: 8.82
3: 6.36
4: 4.92
5: 4.10
6: 3.32
7: 2.15
8: 1.55
9: 1.2
10: 1.0
","1.13.26
"
191,万里扬,WLY10S110T,10,1,手动,900,9.5,"1: 8.82
2: 6.36
3: 4.92
4: 4.10
5: 3.32
6: 2.15
7: 1.55
8: 1.2
9: 1.0
10: 0.81
","1.6.56
"
192,万里扬,WLY10S110TA,10,1,手动,900,9.5,"1: 13.12
2: 8.82
3: 6.36
4: 4.92
5: 4.10
6: 3.32
7: 2.15
8: 1.55
9: 1.2
10: 1.0
","1.13.26
"
193,万里扬,WLY10S110TB,10,1,手动,900,9.5,"1: 8.82
2: 6.36
3: 4.92
4: 4.10
5: 3.32
6: 2.15
7: 1.55
8: 1.2
9: 1.0
10: 0.81
","1.6.56
"
194,万里扬,WLY10S130,10,1,手动,1300,12,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.26
"
